| Epoch: 93/999999 (1/1) | Loss: 9.7047 | 2.4 steps/s | Step: 0k | 
| Epoch: 94/999999 (1/1) | Loss: 9.4134 | 2.4 steps/s | Step: 0k | 
| Epoch: 95/999999 (1/1) | Loss: 9.4836 | 2.5 steps/s | Step: 0k | 
| Epoch: 96/999999 (1/1) | Loss: 9.3197 | 2.2 steps/s | Step: 0k | 
| Epoch: 97/999999 (1/1) | Loss: 9.8034 | 2.1 steps/s | Step: 0k | 
| Epoch: 98/999999 (1/1) | Loss: 9.7001 | 2.4 steps/s | Step: 0k | 
| Epoch: 99/999999 (1/1) | Loss: 9.2663 | 2.6 steps/s | Step: 0k | 
| Epoch: 100/999999 (1/1) | Loss: 9.3839 | 2.7 steps/s | Step: 0k | 
| Epoch: 101/999999 (1/1) | Loss: 9.6398 | 2.8 steps/s | Step: 0k | 
| Epoch: 102/999999 (1/1) | Loss: 9.5229 | 2.6 steps/s | Step: 0k | 
| Epoch: 103/999999 (1/1) | Loss: 9.7085 | 2.2 steps/s | Step: 0k | 
| Epoch: 104/999999 (1/1) | Loss: 9.4373 | 2.4 steps/s | Step: 0k | 
| Epoch: 105/999999 (1/1) | Loss: 9.5967 | 2.5 steps/s | Step: 0k | 
| Epoch: 106/999999 (1/1) | Loss: 9.4599 | 2.4 steps/s | Step: 0k | 
| Epoch: 107/999999 (1/1) | Loss: 9.7275 | 2.4 steps/s | Step: 0k | 
| Epoch: 108/999999 (1/1) | Loss: 9.3776 | 2.2 steps/s | Step: 0k | 
| Epoch: 109/999999 (1/1) | Loss: 9.2300 | 2.4 steps/s | Step: 0k | 
| Epoch: 110/999999 (1/1) | Loss: 9.8696 | 2.7 steps/s | Step: 0k | 
| Epoch: 111/999999 (1/1) | Loss: 9.5652 | 2.1 steps/s | Step: 0k | 
| Epoch: 112/999999 (1/1) | Loss: 10.2401 | 2.1 steps/s | Step: 0k | 
| Epoch: 113/999999 (1/1) | Loss: 10.1300 | 2.5 steps/s | Step: 0k | 
| Epoch: 114/999999 (1/1) | Loss: 9.9104 | 2.1 steps/s | Step: 0k | 
| Epoch: 115/999999 (1/1) | Loss: 10.1264 | 2.5 steps/s | Step: 0k | 
| Epoch: 116/999999 (1/1) | Loss: 9.9203 | 2.8 steps/s | Step: 0k | 
| Epoch: 117/999999 (1/1) | Loss: 9.8707 | 2.3 steps/s | Step: 0k | 
| Epoch: 118/999999 (1/1) | Loss: 9.8521 | 2.1 steps/s | Step: 0k | 
| Epoch: 119/999999 (1/1) | Loss: 9.6773 | 2.5 steps/s | Step: 0k | 
| Epoch: 120/999999 (1/1) | Loss: 10.1521 | 2.4 steps/s | Step: 0k | 
| Epoch: 121/999999 (1/1) | Loss: 9.6308 | 2.0 steps/s | Step: 0k | 
| Epoch: 122/999999 (1/1) | Loss: 10.5549 | 2.3 steps/s | Step: 0k | 
| Epoch: 123/999999 (1/1) | Loss: 10.2782 | 2.7 steps/s | Step: 0k | 
| Epoch: 124/999999 (1/1) | Loss: 10.4818 | 2.4 steps/s | Step: 0k | 
| Epoch: 125/999999 (1/1) | Loss: 10.8978 | 2.2 steps/s | Step: 0k | 
| Epoch: 126/999999 (1/1) | Loss: 10.8685 | 2.2 steps/s | Step: 0k | 
| Epoch: 127/999999 (1/1) | Loss: 10.4262 | 2.3 steps/s | Step: 0k | 
| Epoch: 128/999999 (1/1) | Loss: 10.5809 | 2.6 steps/s | Step: 0k | 
| Epoch: 129/999999 (1/1) | Loss: 10.6612 | 3.0 steps/s | Step: 0k | 
| Epoch: 130/999999 (1/1) | Loss: 10.3157 | 2.3 steps/s | Step: 0k | 
| Epoch: 131/999999 (1/1) | Loss: 10.3846 | 2.6 steps/s | Step: 0k | 
| Epoch: 132/999999 (1/1) | Loss: 10.4207 | 2.3 steps/s | Step: 0k | 
| Epoch: 133/999999 (1/1) | Loss: 10.1969 | 2.4 steps/s | Step: 0k | 
